,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,day_of_week,month,score_diff,score_total,winner,loser,spread_winner,spread_loser,over_under_winner,over_under_diff
0,2003,1,False,WAS,16.0,13.0,NYJ,WAS,3.0,40.0,FedEx Field,False,74.0,9.0,89.0,,Thursday,September,3.0,29.0,WAS,NYJ,PUSH,PUSH,UNDER,-11.0
1,2003,1,False,TEN,25.0,20.0,LVR,TEN,3.5,46.0,Nissan Stadium,False,70.0,6.0,72.0,,Sunday,September,5.0,45.0,TEN,LVR,TEN,LVR,UNDER,-1.0
2,2003,1,False,SEA,27.0,10.0,NO,SEA,3.0,48.5,CenturyLink Field,False,62.0,10.0,81.0,,Sunday,September,17.0,37.0,SEA,NO,SEA,NO,UNDER,-11.5
3,2003,1,False,SF,49.0,7.0,CHI,SF,6.5,40.5,Candlestick Park,False,63.0,15.0,75.0,,Sunday,September,42.0,56.0,SF,CHI,SF,CHI,OVER,15.5
4,2003,1,False,NYG,23.0,13.0,LAR,LAR,-1.0,46.5,Giants Stadium,False,72.0,6.0,55.0,,Sunday,September,10.0,36.0,NYG,LAR,NYG,LAR,UNDER,-10.5
5,2003,1,False,MIA,20.0,21.0,HOU,MIA,14.0,34.5,Sun Life Stadium,False,82.0,8.0,80.0,,Sunday,September,-1.0,41.0,HOU,MIA,HOU,MIA,OVER,6.5
6,2003,1,False,KC,27.0,14.0,LAC,KC,4.5,47.0,Arrowhead Stadium,False,70.0,7.0,58.0,,Sunday,September,13.0,41.0,KC,LAC,KC,LAC,UNDER,-6.0
7,2003,1,False,PIT,34.0,15.0,BAL,PIT,4.0,38.5,Heinz Field,False,64.0,4.0,71.0,,Sunday,September,19.0,49.0,PIT,BAL,PIT,BAL,OVER,10.5
8,2003,1,False,DET,42.0,24.0,ARI,DET,3.5,39.0,Ford Field,False,72.0,0.0,,indoor,Sunday,September,18.0,66.0,DET,ARI,DET,ARI,OVER,27.0
9,2003,1,False,DAL,13.0,27.0,ATL,DAL,2.0,36.5,Texas Stadium,False,75.0,6.0,51.0,,Sunday,September,-14.0,40.0,ATL,DAL,ATL,DAL,OVER,3.5
10,2003,1,False,CLE,6.0,9.0,IND,IND,-2.0,48.0,FirstEnergy Stadium,False,65.0,4.0,72.0,,Sunday,September,-3.0,15.0,IND,CLE,IND,CLE,UNDER,-33.0
11,2003,1,False,CIN,10.0,30.0,DEN,DEN,-6.0,43.5,Paul Brown Stadium,False,65.0,5.0,75.0,,Sunday,September,-20.0,40.0,DEN,CIN,DEN,CIN,UNDER,-3.5
12,2003,1,False,CAR,24.0,23.0,JAX,CAR,4.0,34.5,Bank of America Stadium,False,67.0,9.0,79.0,,Sunday,September,1.0,47.0,CAR,JAX,JAX,CAR,OVER,12.5
13,2003,1,False,BUF,31.0,0.0,NE,BUF,1.0,44.5,Ralph Wilson Stadium,False,64.0,11.0,82.0,,Sunday,September,31.0,31.0,BUF,NE,BUF,NE,UNDER,-13.5
